standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
flu;virus influenza c;[];[]
flu;flu;['gejala flu'];['gejala flu']
flu;fluinfluensa;[];[]
flu;flu demam;['demam flu', 'demam menyertai flu', 'demam menyertai flu paska vaksinasi'];[]
flu;virus influenza tipe a atau b;[];[]
flu;flu pada anak dan orang dewasa;['flu anak orang dewasa', 'penyakit ulkus genital orang dewasa'];['flu anak orang dewasa']
flu burung;flu burung;[];[]
folikulitis;folikulitis;['folikulitis barbae', 'folikulitis superfisial', 'folikulitis superfisialis'];['folikulitis barbae', 'folikulitis superfisial', 'folikulitis superfisialis']
gagal ginjal akut;gagal ginjal;[];['insufisiensi ginjal']
gagal ginjal akut;gagal ginjal akut;[];[]
gagal ginjal kronis;gagal ginjal khronis;[];[]
gagal ginjal kronis;pasien gagal ginjal khronik;['gangguan ginjal khronik'];['gangguan ginjal khronik']
gagal ginjal kronis;gagal ginjal kronik;['gagal ginjal akut kronik', 'insufisiensi ginjal kronik'];['gagal ginjal akut kronik', 'insufisiensi ginjal kronik']
gagal jantung;gangguan jantung;['infark jantung', 'infeksi jantung', 'jantung', 'masalah jantung'];['infark jantung', 'infeksi jantung', 'masalah jantung','gagal jantung kongestif']
gagal jantung;gagal jantung;['gagal jantung kongesti', 'gagal jantung kronik'];['gagal jantung kongesti', 'gagal jantung kronik']
gangguan metabolik;gangguan metabolisme;['gangguan metabolisme otot jantung'];['gangguan metabolisme otot jantung']
gangguan metabolik;gangguan metabolik;['gangguan vaskulo metabolik perifer akut khronik', 'gangguan vaskulo metabolik serebral akut khronik'];['gangguan vaskulo metabolik perifer akut khronik', 'gangguan vaskulo metabolik serebral akut khronik']
gangguan panik;gangguan panik;[];[]
gangguan pencernaan;gangguan pencernaan;['dispepsia gangguan pencernaan neurogenik', 'gangguan pencernaan fungsional', 'gangguan pencernaan neurogenik'];['dispepsia gangguan pencernaan neurogenik', 'gangguan pencernaan fungsional', 'gangguan pencernaan neurogenik', 'gangguan lambung','gangguan saluran cerna']
gangguan pencernaan;gangguan pada pencernaan;[];[]
gangguan pendengaran;gangguan pendengaran;[];[]
gangguan pernapasan;gangguan pernafasan;['gangguan pernafasan akibat rokok', 'gangguan saluran pernafasan', 'gangguan saluran pernafasan akut', 'gangguan saluran pernafasan akut kronik', 'gangguan saluran pernafasan kronik'];['gangguan pernafasan akibat rokok', 'gangguan saluran pernafasan', 'gangguan saluran pernafasan akut', 'gangguan saluran pernafasan akut kronik', 'gangguan saluran pernafasan kronik','gangguan saluran pernafasan disebabkan dahak mukus','gangguan saluran nafas khronik','gangguan saluran nafas kronis','gangguan saluran napa']
gangguan pernapasan;gangguan pernapasan;['gangguan pernapasan akut kronis'];['gangguan pernapasan akut kronis','gangguan saluran napa akut khronik', 'sekretolitik gangguan saluran napa akut khronik','gangguan saluran nafas akut', 'gangguan saluran nafas akut kronis']
gangguan pernapasan;gangguan di saluran pernafasan;[];[]
gangguan pernapasan;gangguan saluran pernapasan;['gangguan saluran pernapasan akut kronik', 'gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular'];['gangguan saluran pernapasan akut kronik', 'gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular']
gangguan spastik;gangguan spastik;['gangguan spastik saluran cerna', 'gangguan spastik saluran empedu', 'gangguan spastik saluran genital wanita', 'gangguan spastik saluran kemih', 'nyeri spastik'];['gangguan spastik saluran cerna', 'gangguan spastik saluran empedu', 'gangguan spastik saluran genital wanita', 'gangguan spastik saluran kemih']
gangguan tidur;gangguan irama tidur;[];[]
gangguan tidur;gangguan ritme tidur;['gangguan ritme irama berhubungan'];[]
gangguan tidur;gangguan sulit tidur;['sulit tidur'];['sulit tidur']
gangguan tidur;gangguan tidur;['gangguan memori tidur', 'susah tidur'];['gangguan memori tidur', 'susah tidur']
gangguan tropik;gangguan tropik;[];[]
gangrene;ganggren;[];[]
gangrene;gangrene;[];[]
gastritis;gastritis kronis;[];[]
gastritis;gastritis;['antasida gastritis', 'penuh lambung gastritis', 'terapi gastritis', 'ulkus gastritis'];['antasida gastritis', 'penuh lambung gastritis', 'ulkus gastritis']
gastritis;gastritis kronik sd 8 minggu;[];[]
gastritis;gastritis tukak lambung tukak usus dua belas jari;['tukak usus 12 jari', 'tukak usus belas jari', 'tukak usus belas jari aktif', 'tukak usus dua belas jari'];[]
gastritis;gastristis;[];[]
gastritis;gastritis alkoholisme khronik;['alkoholisme khronik'];[]
gastritis;gastritis kronik;[];[]
gastroenteritis;gastroenteritis;['gastroenteritis bayi'];['gastroenteritis bayi']
gastroenteritis;gastroenteritis anak;[];[]
gastroparesis;gastroparesis akut dan berulang;[];[]
gastroparesis;gastroparesis diabetikum;[];[]
gastroparesis;gastroparesis diabetikum akut rekuren;[];[]
gastroparesis;gastroparesis akut;[];[]
gastroparesis;gastroparesis;[];[]
gastroparesis;gastroparesis berulang;['gastroparesis akut berulang'];['gastroparesis akut berulang']
gastroparesis;gastroparesis diabetikum akut berulang;[];[]
gerd;refluks esofagitis;[];['esofageal']
gerd;gerd;['simtomatik gerd'];['simtomatik gerd']
gerd;gastroesophageal reflux disease;['nonerosive reflux disease', 'nonerosive reflux disease nerd'];['nonerosive reflux disease', 'nonerosive reflux disease nerd']
gerd;gastroesophageal reflux disease gerd;[];[]
gerd;reflux gastroesofagitis;[];[]
gerd;refluks gastroesofagus;[];[]
gerd;reflucks;[];[]
gerd;reflux esophagitis sedang dan berat;['nyeri sedang berat', 'reflux esophagitis sedang berat'];['reflux esophagitis sedang berat']
gerd;refluks esophagitis;[];[]
gerd;refluks;['gangguan refluks non erosive'];['gangguan refluks non erosive']
gerd;refluks esofagus;['inflamasi esofagus', 'inflamasi esofagus refluks esofagus'];['inflamasi esofagus', 'inflamasi esofagus refluks esofagus']
gerd;reflucks esofagitis;[];[]
gerd;refluks esofagitis erosifulseratif;['esofagitis erosifulseratif'];['esofagitis erosifulseratif']
gerd;reflux;[];[]
gerd;refluks esofagitis erosif atau ulseratif;['refluks esofagitis erosif ulseratif'];['refluks esofagitis erosif ulseratif']
gerd;refluks esofagitis berat;['esofagitis berat'];['esofagitis berat']
gerd;reflux esofagitis;['rasa panas ulu hatikerongkongan akibat reflux esofagitis'];['rasa panas ulu hatikerongkongan akibat reflux esofagitis']
gerd;refluks gastroesofagus yang erosif;['refluks gastroesofagus erosif'];['refluks gastroesofagus erosif']
gerd;reflux esofagitis erosifulseratif;[];[]
gerd;refluks gastroesofagitis;[];[]
gerd;refluks esofagitis erosif;['esofagitis erosif'];['esofagitis erosif']
giardiasis;giardiasis;[];[]
giardiasis;giardia;[];[]
giardiasis;giardia lambliasis;[];[]
gigi berlubang;gigi berlubang;[];[]
gigitan serangga;gatal karena biang keringet udara panas gigitan serangga;['gatal biang keringet udara panas gigitan serangga', 'udara panas'];['gatal biang keringet udara panas gigitan serangga']
gigitan serangga;gatal akibat gigitan nyamukserangga;['gigitan nyamukserangga'];['gigitan nyamukserangga']
gigitan serangga;gatal gigitan serangga;[];[]
gigitan serangga;gigitan serangga;['serangga'];['serangga']
gigitan serangga;gatalgatal karena gigitan serangga atau nyamuk;[];[]
gigitan serangga;gigitan nyamuk bahkan nyamuk demam berdarah;[];[]
gigitan serangga;gatal akibat gigitan seranggga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga atau nyamuk;[];[]
gigitan serangga;gigitan nyamuk/serangga;['gigitan nyamuk serangga'];['gigitan nyamuk serangga']
gigitan serangga;gatal gigitan serangga dan nyamuk;['gatal gigitan serangga nyamuk'];['gatal gigitan serangga nyamuk']
gigitan serangga;gigitan nyamuk;[];[]
gigitan serangga;gigitan nyamuk  serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga;['gatalgatal', 'gatalgatal gigitan serangga'];['gatalgatal gigitan serangga']
gigitan serangga;gatal  gatal gigit serangga;['gatal', 'gatal gatal', 'gatal gatal gigit serangga', 'gatal kulit', 'inflamasi gatal gatal', 'sakit gigi gatal gatal', 'urtikaria gatal gatal'];['gatal gatal gigit serangga']
gigitan serangga;gatal akibat gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga nyamuk;['gatalgatal gigitan serangga nyamuk'];['gatalgatal gigitan serangga nyamuk']
gigitan serangga;gatalgatal akibat gigitan serangganyamuk;[];[]
gigitan serangga;gatal akibat digigit serangga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat digigit serangga;[];[]
gigitan serangga;gatal karena gigitan serangga;[];[]
gigitan serangga;digigit serangga;[];[]
glaukoma;glaukoma sekunder;[];[]
glaukoma;glaukoma sudut tertutup;[];[]
glaukoma;glukoma;[];[]
glaukoma;glaukoma sudut  terbuka hipertensi okular;['glaukoma sudut terbuka hipertensi okular'];['glaukoma sudut terbuka hipertensi okular']
glaukoma;glukoma sudut terbuka kronis;[];[]
