standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
infeksi saluran pernapasan;infeksi saluran nafas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah dan atas;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas;[];[]
infeksi staphylococcus;infeksi staphylococcus;['staphylococcus', 'staphylococcus aureus'];['staphylococcus', 'staphylococcus aureus']
infeksi staphylococcus;infeksi disebabkan staphylococcus;['luka terinfeksi disebabkan oleh staphylococcus aureus'];['luka terinfeksi disebabkan oleh staphylococcus aureus']
infeksi streptococcus;infeksi streptococcus;['streptococcus', 'streptococcus epidermidis', 'streptococcus faecalis', 'streptococcus hemolyticus', 'streptococcus pyogenes', 'streptococcus viridans'];['streptococcus', 'streptococcus epidermidis', 'streptococcus faecalis', 'streptococcus hemolyticus', 'streptococcus pyogenes', 'streptococcus viridans','hemolitikus', 'infeksi strep', 'strep', 'strep hemolitikus']
infeksi telinga;infeksi telinga;['infeksi rongga telinga', 'infeksi telinga hidung tenggorokan', 'nyeri telinga', 'peradangan akibat infeksi telinga', 'telinga berdengung', 'telinga hidung tenggorokan'];['infeksi rongga telinga', 'infeksi telinga hidung tenggorokan', 'peradangan akibat infeksi telinga']
infeksi tulang;infeksi tulang;['infeksi tulang persendian', 'infeksi tulang sendi', 'nyeri tulang', 'ostoroposis tulang', 'renatik tulang', 'sakit tulang', 'tulang'];['infeksi tulang persendian', 'infeksi tulang sendi']
infeksi usus;infeksi usus;['iritasi usus', 'usus halus'];['infeksi traktus gastrointestinal']
infeksi vagina;infeksi vagina;['infeksi vagina campuran', 'infeksi vagina disebabkan candida albicans', 'infeksi vagina disebabkan trichomonas vaginalis', 'kandda vagina'];['infeksi vagina campuran', 'infeksi vagina disebabkan candida albicans', 'infeksi vagina disebabkan trichomonas vaginalis']
infeksi virus;infeksi virus;['keratitis akibat infeksi virus superfisial', 'penyakit virus', 'virus', 'virus jamur', 'virus superfisial'];[]
inkontinensia tinja;inkontinensia tinja;[];[]
inkontinensia urine;inkontinensia urin;[];[]
insomnia;insomnia;[];[]
intoleransi makanan;intoleransi terhadap makanan;['intoleransi terhadap makanan salah cerna'];['intoleransi terhadap makanan salah cerna']
intoleransi obat;intoleransi obat;['intoleransi terhadap obat sitotoksik'];['intoleransi terhadap obat sitotoksik']
iskemia;iskemia;['iskemia miokard', 'iskemia miokardial', 'iskemia ulkus'];['iskemia miokard', 'iskemia miokardial', 'iskemia ulkus']
jamur kulit;jamur pada kulit;[];[]
jamur kulit;jamur kulit;['gatal jamur kulit', 'penyakit kulit janggut jamur'];[]
jamur kulit;jamur lipatan kulit;[];[]
jerawat;jerawat bisul;[];[]
jerawat;jerawat berat;[];[]
jerawat;jerawat parah;[];[]
jerawat;jerawat;['infeksi jerawat'];['infeksi jerawat']
jerawat;jerawat berisi nanah;['aknejerawat berisi nanah'];['aknejerawat berisi nanah']
jerawat;jerawatakne vulgaris;[];[]
jerawat batu;jerawat batu;[];[]
kandidiasis kulit;kandidasis kutan;[];[]
kandidiasis kulit;kandidiasis kulit;[];[]
kandidiasis mukosal;kandidiasi mukosa;[];[]
kandidiasis mukosal;kandidiasis mukokutan kulit  mukosa khronik;['kandidiasis mukokutan kulit mukosa khronik'];['kandidiasis mukokutan kulit mukosa khronik']
kandidiasis mukosal;kandidiasis mukosal;[];[]
kandidiasis mukosal;kandidiasis mukokutan kronis;[];[]
kandidiasis mukosal;kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal;['kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal'];['kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal']
kandidiasis mukosal;kandidiasis mukokutan khronis;[];[]
kandidiasis oral;kandidiasis orofaringeal  esofageal;['kandidiasis orofaringeal esofageal'];['kandidiasis orofaringeal esofageal']
kandidiasis oral;atopik oral kandidiasis;['atopik oral'];[]
kandidiasis oral;kandidiasis mulut dermatomikosis;[];[]
kandidiasis oral;kandidiasis mulut;[];[]
kandidiasis oral;kandidiasis oral;['kontrasepsi oral', 'lesi inflamasi oral'];[]
kandidiasis oral;kandidiasis rongga mulut;['akumulasi plak rongga mulut', 'infeksi rongga mulut', 'peradangan rongga mulut tenggorokan', 'rongga mulut', 'rongga mulut saluran pencernaan'];[]
kandidiasis oral;kandidiasis oral infeksi jamur rongga mulut;['infeksi jamur dalam rongga mulut', 'infeksi jamur fungi rongga mulut tenggorokan', 'infeksi jamur rongga mulut'];[]
kandidiasis oral;kandidiasis orofaringeal;['infeksi orofaringeal', 'orofaringeal'];['infeksi orofaringeal', 'orofaringeal']
kandidiasis oral;kandidosis oral;[];[]
kandidiasis oral;kandidiasis orofaringe;[];[]
kandidiasis vaginalis;kandidiasis vulvovaginal;[];[]
kandidiasis vaginalis;kandidosis vaginal;[];[]
kandidiasis vaginalis;kandidiasis vaginal;[];[]
kandidiasis vaginalis;kandidiasis vagina;[];[]
kanker;kanker;['kanker emetogenik', 'nyeri kanker', 'pasien kanker', 'penyakit kanker', 'sel kanker'];['kanker emetogenik', 'nyeri kanker', 'pasien kanker', 'penyakit kanker', 'sel kanker']
kanker darah;kanker darah;['darah'];[]
kanker hati;kanker hati;['gangguan hati', 'peradangan hati'];[]
kanker kandung kemih;kanker kandung kemih;[];[]
kanker lambung;kanker lambung;[];[]
kanker paru-paru;kanker paru paru;['kanker paru'];['kanker paru']
kanker payudara;kanker payudara;['kanker payudara stadium dini', 'kanker payudara stadium lanjut', 'kanker payudara stadium lokal lanjutmetastasis', 'karsinoma payudara'];['kanker payudara stadium dini', 'kanker payudara stadium lanjut', 'kanker payudara stadium lokal lanjutmetastasis','karsinoma payudara']
kanker payudara;kanker payu dara;[];[]
kanker prostat;kanker prostat;['gangguan prostat', 'prostat'];[]
kanker rahim;kanker rahim;[];[]
kanker tenggorokan;kanker tenggorokan;[];[]
kapalan;kapalan;['kalos kapalan', 'kalus kapalan'];['kalos kapalan', 'kalus kapalan']
kardiomiopati;cardiomiopati obstruktif hipertrofik;[];[]
kejang;kejang;['kejang bronkus', 'kejang otot'];['kejang bronkus', 'kejang otot']
kelahiran prematur;ancaman kelahiran prematur;['prematur'];['prematur']
kelainan darah;kelainan darah;['kelainan kulit', 'kelainan muskuloskeletal akut', 'kelainan periodontal', 'kelainan saraf'];[]
keputihan;keputihan;['gatal akibat keputihan'];['gatal akibat keputihan']
keracunan alkohol;keracunan alkohol;['intoksinasi alkohol'];['intoksinasi alkohol']
keracunan hati;keracunan hati;[];[]
keracunan obat;keracunan obat;['keracunan', 'keracunan darah'];[]
keratitis;keratitis akut;[];['keratitis akibat infeksi virus superfisial']
keratitis;keratitis;['fungal keratitis', 'keratitis bakterial', 'keratitis dendritis', 'keratitis fungal', 'keratitis gangguan peradangan okular', 'keratitis jamur', 'keratitis kronik', 'keratitis metaherpetikum', 'keratitis superfisial nonspesifik'];['fungal keratitis', 'keratitis bakterial', 'keratitis dendritis', 'keratitis fungal', 'keratitis gangguan peradangan okular', 'keratitis jamur', 'keratitis kronik', 'keratitis metaherpetikum', 'keratitis superfisial nonspesifik']
keratokonjungtivitis;keratokonjungtivitis;['keratokonjungtivitis sicca'];['keratokonjungtivitis sicca']
keratosis pilaris;keratosis pilaris;[];[]
keseleo;keseleo;['keseleo tegang', 'keseleo terkilir', 'memar keseleo', 'sprains keseleo'];['keseleo tegang', 'keseleo terkilir', 'memar keseleo', 'sprains keseleo']
keseleo;kesleo;[];[]
kesemutan;kesemutan;[];[]
ketombe;ketombe;['ketombe dikulit kepala', 'ketombe disebabkan pytirosporum ovale'];['ketombe dikulit kepala', 'ketombe disebabkan pytirosporum ovale']
kista;kista;['miom kista'];['miom kista']
klaudikasio intermiten;klaudikasi intermiten;[];[]
klaudikasio intermiten;klaudikasio intermiten;[];[]
kolera;kolera;[];[]
kolesterol;kolesterol;['kolesterol jahat', 'kolesterol total'];['kolesterol jahat', 'kolesterol total']
kolesterol;kolesterol ldl;['ldl'];['ldl']
kolik kandung kemih;kolik kandung kemih;['kolik', 'kolik ginjal kandung kemih', 'nyeri kolik'];['kolik', 'kolik ginjal kandung kemih', 'nyeri kolik']
koma;koma;['koma hepatic', 'koma hepatik', 'pre koma hepatik'];['koma hepatic', 'koma hepatik', 'pre koma hepatik']
komedo;komedo;['peradangan dengan komedo'];['peradangan dengan komedo']
konjungtivitis;konjungtivitas;[];['konjungtivitis alergi radang selaput ikat mata akibat alergi']
konjungtivitis;konjungktivitis;[];[]
konjungtivitis;konjungtivitis;['konjungtivitis alergi', 'konjungtivitis bakterial', 'konjungtivitis folikular', 'konjungtivitis infeksi bakteri', 'konjungtivitis infeksi e', 'konjungtivitis nonpurulen', 'konjungtivitis nonpurulen akut kronis', 'konjungtivitis vernal'];['konjungtivitis alergi', 'konjungtivitis bakterial', 'konjungtivitis folikular', 'konjungtivitis infeksi bakteri', 'konjungtivitis infeksi e', 'konjungtivitis nonpurulen', 'konjungtivitis nonpurulen akut kronis', 'konjungtivitis vernal']
konstipasi;konstipasi;['konstipasi akut', 'konstipasi akut kronik', 'konstipasi atoni', 'konstipasi kronik', 'konstipasi kronis', 'konstipasi superscript'];['konstipasi akut', 'konstipasi akut kronik', 'konstipasi atoni', 'konstipasi kronik', 'konstipasi kronis', 'konstipasi superscript']
kram otot;kram otot;['kram', 'nyeri otot', 'nyeri spasme kram otot polo', 'spasme kram otot'];['kram', 'nyeri spasme kram otot polo', 'spasme kram otot']
kram perut;kram perut;['kram perut disebabkan oleh menstruasi dysmenorrhea', 'sakit kram perut'];['kram perut disebabkan oleh menstruasi dysmenorrhea', 'sakit kram perut']
kriptosporidiosis;cryptosporidiosis;[];[]
kriptosporidiosis;kriptosporidiosis;[];[]
kudis;kudis;['scabies kudis'];['scabies kudis']
kudis;kadas;['panu kadas'];['panu kadas']
kulit kering;kulit kering;['infeksi basah kering kulit bayi', 'kering', 'tenggorokan kering'];[]
kurap;kadaskurap;[];[]
kurap;kurap;[];[]
kutil;kutil;['kutil kalus'];['kutil kalus']
kutu air;kutu air;['kutu air rangen', 'kutu badan', 'tinea pedis kutu air'];['kutu air rangen', 'tinea pedis kutu air']
kutu rambut;kutu rambut;[];[]
labirinitis;labirinitis;['sindroma meniere labirinitis'];['sindroma meniere labirinitis']
lambliasis;lambliasis;[];[]
laringitis;laryngitis;[];[]
laringitis;laringitis;[];[]
leptospirosis;leptospirosis;[];[]
lichen planus;likhen planus;['likhen planus erosif'];['likhen planus erosif']
lichen planus;liken planus;[];[]
lichen planus;lichen planus;[];[]
luka bakar;luka bakar;['luka bakar akibat bahan kimia', 'luka bakar ringan', 'luka bakar terinfeksi'];['luka bakar akibat bahan kimia', 'luka bakar ringan', 'luka bakar terinfeksi']
luka tusuk;luka tusuk;[];[]
luka usus;luka usus;['luka lambung usus', 'luka usus duodenal'];['luka lambung usus', 'luka usus duodenal']
lupus;lupus eritematosus;[];[]
lupus;lupus eritematosus discoid;[];[]
lupus;lupus eritemmantosus;[];[]
lupus;lupus eritematosus diskoid kondisi tidak respon kortikosteroid aktif;['lupus eritematosus diskoid tidak respon kortikosteroid aktif'];['lupus eritematosus diskoid tidak respon kortikosteroid aktif']
lupus;lupus eritematosus diskoid;[];[]
lupus;lupus;[];[]
mabuk perjalanan;mabuk perjalanan;['mabuk', 'pencegahan mabuk perjalanan'];['mabuk', 'pencegahan mabuk perjalanan']
mabuk perjalanan;mabuk karena kendaraan;['mabuk kendaraan'];['mabuk kendaraan']
makrosomia;makrosomia;[];[]
malaria;malaria;['malaria falciparum', 'pencegahan malaria'];['malaria falciparum', 'pencegahan malaria']
mata ikan;mata ikan;[];[]
mata kering;mata kering;['sindroma mata kering'];['sindroma mata kering']
mata kering;kekeringan mata;['kekeringan'];[]
mata lelah;mata lelah;['fatig lelah'];[]
mata merah;mata merah;['bercak merah', 'iritasi mata merah', 'merah', 'merah iritasi', 'peradangan mata merah', 'ruam merah'];['iritasi mata merah', 'peradangan mata merah']
mata merah;kemerahan mata;['kemerahan', 'kemerahan keadaan inflamasi'];[]
melasma;melasma;['melasma derajat sedang hingga berat'];['melasma derajat sedang hingga berat']
meningitis;meningitis;['meningitis kriptokokal', 'meningitis nontbc', 'tuberkulosis meningitis'];['meningitis kriptokokal', 'meningitis nontbc', 'tuberkulosis meningitis','bakteri gr menyebabkan meningitis','bakteremia meningitis', 'gram negatif menyebabkan bakteremia meningitis', 'meningitis bakteremia','bakteri gr  menyebabkan meningitis', 'bakteri gram negatif penyebab bakteria meningitis','kuman gram negatif penyebab meningitis bakteremia','meningitis bakteri gram negatif', 'meningitis disebabkan bakteri gram negatif']
menopause;menopause;['gangguan pasca menopause', 'osteoporosis paska menopause'];['gangguan pasca menopause']
mialgia;mialgia;[];[]
migrain;migraine;['migraine akut'];['migraine akut']
migrain;migrain;['migrain akut'];['migrain akut']
mikosis;mikosis;['infeksi mikosis sistemik', 'mikosis interdigitalis', 'mikosis kulit dermatofita', 'mikosis mulut kulit kandida', 'mikosis sistemik'];['infeksi mikosis sistemik', 'mikosis interdigitalis', 'mikosis kulit dermatofita', 'mikosis mulut kulit kandida', 'mikosis sistemik']
milia;milia;[];[]
miom;miom;[];[]
molluscum contagiosum;moluskum kontagiosum;[];[]
molluscum contagiosum;molluscum contagiosum;[];[]
morning sickness;morning sickness;[];[]
mual;mual akut;[];[]
mual;mual;['gejala mual', 'hiperasiditas mual', 'pening mual', 'perut mual', 'rasa mual'];['gejala mual', 'hiperasiditas mual', 'pening mual', 'perut mual', 'rasa mual']
mual;mual akibat radiasi;['radiasi', 'sakit akibat radiasi', 'terapi radiasi'];[]
mual muntah;mual dan muntah akibat obat;['mual muntah akibat obat', 'mual muntah obat'];['mual muntah akibat obat', 'mual muntah obat']
mual muntah;mual dan muntah akibat kemoterapi dan radioterapi;[];[]
mual muntah;mual atau muntah;[];[]
mual muntah;mual dan muntah akibat penggunaal levodopa dan bromokriptin;['mual muntah akibat penggunaal levodopa bromokriptin'];['mual muntah akibat penggunaal levodopa bromokriptin']
mual muntah;mual dan muntah pada anak2 akibat kemoterapi  radioterapi;['mual muntah anak2 akibat kemoterapi radioterapi'];['mual muntah anak2 akibat kemoterapi radioterapi']
mual muntah;mual dan muntah akibat kemoterapi  radioterapi;['akibat kemoterapi radioterapi', 'mual muntah akibat kemoterapi radioterapi', 'mual muntah anak akibat kemoterapi radioterapi', 'mual muntah kemoterapi radioterapi'];['mual muntah akibat kemoterapi radioterapi', 'mual muntah anak akibat kemoterapi radioterapi', 'mual muntah kemoterapi radioterapi']
mual muntah;mual dan muntah yang disebabkan oleh obat;['mual muntah disebabkan oleh obat'];['mual muntah disebabkan oleh obat']
mual muntah;mual dan muntah yang disebabkan kemoterapi;[];[]
mual muntah;mual dan muntah karena obat;[];[]
mual muntah;mual dan muntah yang dipicu oleh radioterapi;['mual muntah dipicu oleh radioterapi'];['mual muntah dipicu oleh radioterapi']
mual muntah;mual di pagi hari;['mual pagi hari'];['mual pagi hari']
mual muntah;mual muntah;[];[]
mual muntah;mual atau muntah pasca operasi;[];[]
mual muntah;mual muntah kemoterapi emetogenik;[];[]
mual muntah;mual dan muntah;[];[]
mual muntah;mual dan muntah yang diinduksi obat kemoterapi sitotoksik;['mual muntah diinduksi obat kemoterapi sitotoksik'];['mual muntah diinduksi obat kemoterapi sitotoksik']
mual muntah;mual dan muntah akibat radioterapi;['mual muntah akibat radioterapi', 'mual muntah radioterapi', 'radioterapi'];['mual muntah akibat radioterapi', 'mual muntah radioterapi']
mual muntah;mual  muntah akut;[];[]
mual muntah;mual meriang;['badan meriang', 'meriang', 'sumeng meriang'];[]
mual muntah;mual  muntah yang disebabkan kemoterapi;['mual muntah disebabkan kemoterapi'];['mual muntah disebabkan kemoterapi']
mual muntah;mual dan muntah paska operasi;[];['mualmuntah paska operasi']
mual muntah;mual dan muntah pasca operasi;['mual muntah pasca operasi'];['mual muntah pasca operasi']
mual muntah;mual dan muntah yang disebabkan radioterapi untuk kanker;['mual muntah disebabkan radioterapi untuk kanker', 'radioterapi untuk kanker'];['mual muntah disebabkan radioterapi untuk kanker']
mual muntah;mual muntah kehamilan;[];[]
mual muntah;mual muntah paska operasi;['mual paska operasi'];['mual paska operasi']
mual muntah;mual  muntah yang disebabkan kemoterapi  radioterapi untuk kanker;['mual muntah disebabkan kemoterapi radioterapi untuk kanker'];['mual muntah disebabkan kemoterapi radioterapi untuk kanker']
mual muntah;mual dan muntah pada anak akibat kemoterapi dan radioterapi;[];[]
mual muntah;mual muntah akut;[];[]
mual muntah;mual dan muntah karena kemoterapi;[];[]
mual muntah;mual dan muntah karena kemoterapi dan radioterapi;[];[]
mual muntah;mual  muntah;[];[]
mual muntah;mual dan muntah akibat kemoterapi;['akibat kemoterapi', 'kemoterapi', 'mual muntah akibat kemoterapi', 'mual muntah kemoterapi'];['mual muntah akibat kemoterapi', 'mual muntah kemoterapi']
mual muntah;mual dan muntah akut;[];[]
mual muntah;mual dan muntah karena radioterapi;[];[]
mual muntah;mual dan muntah pasca pembedahan;['mual muntah pasca pembedahan'];['mual muntah pasca pembedahan']
mual muntah;mual muntah akibat gangguan metabolik pasca operasi;[];[]
mulut kering;mulut kering;[];[]
muntah;muntahmuntah;['maul akut muntahmuntah'];['maul akut muntahmuntah']
muntah;muntah akut;['akut'];[]
muntah;muntah pasca operasi;[];[]
muntah;muntah;['muntah muntah'];['muntah muntah']
muntah;muntah paska anestesi;['anestesi operasi', 'mual paska anestesi'];['mual paska anestesi']
muntah;muntahmuntah karena levodopa;['levodopa', 'muntahmuntah levodopa'];['muntahmuntah levodopa']
muntah;muntah  muntah;[];[]
muntah;muntah kehamilan;['gangguan kehamilan', 'kehamilan', 'komplikasi kehamilan'];[]
muntah;muntah pada kehamilan;[];[]
muntah;muntah saat hamil;[];[]
muntah;muntahmuntah karena bromokriptin;['muntahmuntah bromokriptin'];['muntahmuntah bromokriptin']
muntah;muntah dalam perjalanan;[];[]
muntah;muntah dalam perjalanan yang diderita jika mempergunakan kendaraan bermotor kapal kereta api atau pesawat udara;['muntah dalam perjalanan diderita jika mempergunakan kendaraan bermotor kapal kereta api pesawat udara'];['muntah dalam perjalanan diderita jika mempergunakan kendaraan bermotor kapal kereta api pesawat udara']
muntah;muntah ringan;[];[]
muntah;muntah saat perjalanan;[];[]
muntah;muntah paska operasi;[];[]
myasthenia gravis;myasthenia gravis;[];[]
myasthenia gravis;miastenia gravis;[];[]
myositis;miositis;[];[]
myositis;myositis;[];[]
nefropati;nefropati;[];[]
nefropati diabetik;nefropati diabetik;[];[]
neuritis;neuritis;['neuritis kehamilan', 'neuritis neuralgia', 'neuritis perifer', 'neuritis reumatik'];['neuritis kehamilan', 'neuritis neuralgia', 'neuritis perifer', 'neuritis reumatik']
neuritis optik;neuritis optika;[];[]
neuritis optik;neuritis optik;[];[]
neurodermatitis;neurodermatitis;['neurodermatitis kontak', 'neurodermatitis lokalisata'];['neurodermatitis kontak', 'neurodermatitis lokalisata']
neurodermatitis;neuro-dermatitis;[];[]
neuropati;neuropati;['neuropati vagal diabetikum'];['neuropati vagal diabetikum']
neuropati diabetik;neuropati diabetika;[];[]
neuropati diabetik;neuropati diabetik;[];[]
neuropati perifer;neuropati perifer;[];[]
nistagmus;nistagmus;[];[]
nyeri;nyeri ringan;['iritasi ringan', 'meredakan nyeri gigi ringan', 'nyeri', 'nyeri arthritis ringan', 'nyeri gigi ringan', 'nyeri gigi ringan hingga sedang', 'nyeri ringan sedang otot', 'ringan', 'sakit nyeri ringan'];['nyeri', 'sakit nyeri ringan','nyeri berat','nyeri lain','nyeri kronis akut', 'nyeri spastik','nyeri sedang berat','nyeri akut derajat berat','nyeri sakit']
nyeri bahu;nyeri bahu;['bahu', 'leher kaku bahu', 'nyeri otot bahu', 'nyeri otot leher bahu punggung', 'rasa sakit otot bahu'];['nyeri otot bahu', 'nyeri otot leher bahu punggung', 'rasa sakit otot bahu']
nyeri leher;nyeri leher;['leher', 'leher kaku', 'nyeri otot leher', 'pegal leher', 'rasa sakit leher', 'sakit otot leher', 'sindroma leher'];['nyeri otot leher',  'rasa sakit leher', 'sakit otot leher']
nyeri lutut;nyeri lutut;['lutut', 'penggantian tulang lutut'];[]
nyeri pasca operasi;nyeri yang muncul setelah operasi;['nyeri muncul setelah operasi', 'nyeri setelah traumapasca operasi', 'sakit setelah operasi', 'setelah operasi'];['nyeri muncul setelah operasi', 'nyeri setelah traumapasca operasi', 'sakit setelah operasi', 'setelah operasi','nyeri sesudah operasi']
nyeri pasca operasi;nyeri pasca operasi derajat;['nyeri akut derajat berat'];[]
nyeri pasca operasi;nyeri pasca op;['nyeri inflamasi pasca op', 'pasca op gigi'];['nyeri inflamasi pasca op']
nyeri pasca operasi;nyeri pasca operasi;['meredakan nyeri pasca operasi', 'nyeri operasi', 'nyeri sehabis operasi'];['meredakan nyeri pasca operasi', 'nyeri operasi', 'nyeri sehabis operasi']
nyeri pasca operasi;nyeri pasca bedah;['bedah', 'komplikasi paru pasca bedah', 'pasca bedah', 'pembengkakan pasca bedah'];[]
nyeri pasca operasi;nyeri pasca operasi cabut gigi;['cabut gigi', 'nyeri cabut gigi', 'pencabutan gigi nyeri operasi'];['nyeri cabut gigi', 'pencabutan gigi nyeri operasi']
nyeri pasca operasi;nyeri pasca operasi pasca bedah gigi tulang;[];[]
nyeri pasca operasi;nyeri paska operasi;['inflamasi paska operasi', 'inflamasi paska operasi katarak', 'mualmuntah paska operasi', 'paska operasi', 'pencegahan infeksi anaerob paska operasi'];[]
nyeri pinggang;nyeri pinggang;['nyeri otot pinggang', 'pinggang'];['nyeri otot pinggang']
nyeri punggung;nyeri punggung;['nyeri kolumna vertebra tulang punggung', 'nyeri otot punggung', 'nyeri tulang punggung', 'punggung', 'punggung pegal'];['nyeri kolumna vertebra tulang punggung', 'nyeri otot punggung', 'nyeri tulang punggung']
nyeri punggung;sakit nyeri punggung;['nyeri sakit'];[]
nyeri punggung;nyeri pada punggung;[];[]
nyeri punggung;nyeri dipunggung;[];[]
nyeri sendi;nyeri sendi;['infeksi sendi', 'kekakuan sendi', 'non sendi', 'nyeri otot sendi', 'nyeri pegalpegal otot sendi', 'nyeri sendi akibat reumatik', 'pegal linu nyeri sendi', 'pegal nyeri sendi', 'peradangan sendi', 'sakit sendi', 'sendi', 'sendi otot', 'tulang sendi'];['nyeri otot sendi', 'nyeri pegalpegal otot sendi', 'nyeri sendi akibat reumatik', 'pegal linu nyeri sendi', 'pegal nyeri sendi']
oligomenorea;oligomenore;[];[]
oligomenorea;oligomenorea;[];[]
oligospermia;oligospermia;['oligospermia pria'];['oligospermia pria']
onkomikosis;onkomikosis;[];[]
orchitis;orchitis;[];[]
osteoarthritis;osteoartritis oa;['eksaserbasi akut oa', 'oa', 'oa eksaserbasi akut'];['eksaserbasi akut oa', 'oa', 'oa eksaserbasi akut']
osteoarthritis;ostearthiritis;[];[]
osteoarthritis;nyeri osteoarthritis;[];[]
osteoarthritis;osteoartritis spondilosa artritis;[];[]
osteoarthritis;osteoartritis kolumna vertebralis;['sindroma nyeri kolumna vertebralis'];['sindroma nyeri kolumna vertebralis']
osteoarthritis;osteoartritis eksaserbasi akut;['eksaserbasi', 'eksaserbasi akut', 'eksaserbasi bakteri akut'];[]
osteoarthritis;gejala osteoartritis;[];[]
osteoarthritis;osteoartritis akut;[];[]
osteoarthritis;artritis tulang punggung;[];[]
osteoarthritis;osteoartrosis;[];[]
osteoarthritis;osteoarthritis oa;[];[]
osteoarthritis;osteaoarthritis;[];[]
osteoarthritis;osteoartritis spondilosa;[];[]
osteoarthritis;osteoatritis panggul;[];[]
osteoarthritis;osteo arthritis;[];[]
osteoarthritis;osteoarthritis (oa);[];[]
osteoarthritis;osteoarthritis;['eksacerbasi akut osteoarthritis', 'herniated osteoarthritis'];['eksacerbasi akut osteoarthritis', 'herniated osteoarthritis']
osteoarthritis;osteoartritis spondilartritis;['spondilartritis'];[]
osteoarthritis;osteoartritis;[];[]
osteoarthritis;osteoartritis jangka pendek;[];[]
osteogenesis imperfecta;osteogenesis imperfecta;[];[]
osteogenesis imperfecta;osteogenesis imperfekta;[];[]
osteomielitis;osteomielitis akut;[];[]
osteomielitis;osteomielitis;['infeksi osteomielitis', 'intra abdominal osteomielitis'];['infeksi osteomielitis', 'intra abdominal osteomielitis']
osteomielitis;osteomielitis radang sumsum tulang;['infeksi osteomielitis radang sumsum tulang', 'radang sumsum tulang'];['infeksi osteomielitis radang sumsum tulang']
osteomielitis;osteomielitisradang sumsum tulang;[];[]
osteomielitis;osteomielitis radang sumsum tulang akut;['radang sumsum tulang akut'];[]
osteopetrosis;osteopetrosis;[];[]
otitis eksterna;otitis eksterna;['hemoroid eksterna'];[]
otitis eksterna;otitis externa akut khronik;[];[]
otitis eksterna;otitis eksterna kronis;[];[]
otitis eksterna;otitis externa atau peradangan pada telinga bagian luar;['otitis externa peradangan telinga bagian luar'];['otitis externa peradangan telinga bagian luar']
otitis eksterna;otitis eksterna akut;[];[]
otitis eksterna;otitis eksterna kronik;[];[]
otitis eksterna;otitis externa khronik;[];[]
otitis eksterna;otitis externa akut;[];[]
otitis eksterna;otitis externa;[];[]
otitis media;otitis medium akut;['infeksi tht otitis medium akut sinusitis akut'];['infeksi tht otitis medium akut sinusitis akut']
otitis media;otitis media radang rongga gendang telinga;[];[]
otitis media;otitis media supuratif;[];[]
otitis media;otitis media supuratif kronik;[];[]
otitis media;otitis media;[];[]
otitis media;otitis media kronis;[];[]
otitis media;otitis medium radang rongga gendang telinga;[];[]
otitis media;otitis medium sal nafas;['medium sal nafas'];[]
otitis media;otitis media radang telinga tengah akut;[];[]
otitis media;otitis medium;['infeksi gl otitis medium bekterial', 'medium', 'otitis'];['infeksi gl otitis medium bekterial', 'medium', 'otitis']
otitis media;otitis medium akuta;[];[]
otitis media;otitis media akut;[];[]
otomikosis;otomikosis;[];[]
pankreatitis akut;pankreatitis;[];[]
pankreatitis akut;pankreatitis akut;[];[]
panu;panu;['tinea versicolor panu'];['tinea versicolor panu']
paratifus;tifus paratifus;[];[]
paratifus;tifus dan paratifus;[];[]
paratifus;tifus  paratifus;['demam tifus paratifus'];['demam tifus paratifus']
paratifus;tifus epidemi;[];[]
paratifus;tifoid;[];[]
paratifus;tifoid paratifoid;['demam tifoid paratifoid', 'go infeksi gl tifoid paratifoid'];['demam tifoid paratifoid', 'go infeksi gl tifoid paratifoid']
paratifus;paratifus;['demam paratifus'];['demam paratifus']
paronikia;paronikhia;[];[]
paronikia;paronikia;[];[]
parotitis;parotitis;[];[]
pembengkakan;pembengkakan;['pembengkakan rambut'];['pembengkakan rambut']
pembengkakan otak;pembengkakan otak;[];[]
pembengkakan prostat;pembengkakan prostat;[];[]
penyakit arteri koroner;penyakit arteri koroner;['penyakit arteri koroner stabil'];['penyakit arteri koroner stabil']
penyakit arteri perifer;penyakit arteri perifer;['oklusi arteri perifer kronis', 'penyakit arteri'];['oklusi arteri perifer kronis', 'penyakit arteri']
penyakit behcet;penyakit behcet;[];[]
penyakit ginjal;penyakit ginjal hati;['penyakit hati', 'penyakit hati akut kronis'];[]
penyakit ginjal;penyakit ginjal;['penyakit ginjal kronik', 'penyakit ginjal stadium ginjal'];['penyakit ginjal kronik', 'penyakit ginjal stadium ginjal']
penyakit infeksi;penyakit infeksi kulit;['penyakit kulit', 'penyakit kulit dengan peradangan'];[]
penyakit infeksi;penyakit infeksi ringan;['infeksi ringan', 'infeksi ringan sedang', 'penyakit crohn ringan sedang'];[]
